"ProposedWorkID","MuralName","HeroImageFormula","PublicHeroImageURL","DetailPageURL","LocalDetailFile","DetailExists","ExistingWorkIDsInPage","YearFromPage","LocationFromPage","PageTitle","IndexImageRelativePath","HeroImageInPage","HeroImagePublicURLFromPage","HeroFileExists","HasGalleryToPreserve","GalleryImageCount","GalleryImages","SourceLinkCount","HasPublishedViaFooter","RecommendedAction"
"RE-011994","Cowgirl, Roskilde, 2013","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/cowgirl-2013.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/cowgirl-2013.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/cowgirl-roskilde-2013.html","cowgirl-roskilde-2013.html","Yes","","2013","Roskilde Festival, Dyreskuepladsen stable area, Roskilde, Denmark","Cowgirl, Roskilde, 2013","../images/murals/cowgirl-2013.jpg","../images/murals/cowgirl-2013.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/cowgirl-2013.jpg","Yes","No","0","","4","No","Convert page format"
"RE-011995","Mousemask and Temper, Rome, 2013","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/Mousemask-and-Temper-Mural.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/Mousemask-and-Temper-Mural.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/mousemask-temper-rome-2013.html","mousemask-temper-rome-2013.html","Yes","","2013","Via dei Pisoni 89, Quadraro, Rome, Italy","Temper Tot & Mousemask Murphy, Rome, 2013","../images/murals/Mousemask-and-Temper-Mural.jpg","../images/murals/Mousemask-and-Temper-MuralL.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/Mousemask-and-Temper-MuralL.jpg","Yes","Yes","3","../images/murals/TT-Italy1.jpg | ../images/murals/TT-Italy2.jpg | ../images/murals/TT-Italy3.jpg","6","No","Convert page format; preserve gallery and sources"
"RE-011996","POW! WOW! Hawaii, 2013","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/hawaii.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/hawaii.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/powwow-hawaii-2013.html","powwow-hawaii-2013.html","Yes","","2013","KakaÃŠÂ»ako district, Honolulu, Hawaii, United States","POW! WOW! Hawaii, 2013","../images/murals/hawaii.jpg","../images/murals/hawaii-6.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/hawaii-6.jpg","Yes","Yes","5","../images/murals/hawaii-1.jpg | ../images/murals/hawaii-2.jpg | ../images/murals/hawaii-3.jpg | ../images/murals/hawaii-4.jpg | ../images/murals/hawaii-5.jpg","6","No","Convert page format; preserve gallery and sources"
"RE-011997","Black Ocean Pool, 2014","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/blackocean-pool.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/blackocean-pool.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/blackocean-pool-2014.html","blackocean-pool-2014.html","Yes","","2014","Black Ocean, Chelsea, New York, United States","Black Ocean Pool, 2014","../images/murals/blackocean-pool.jpg","../images/murals/blackocean-pool.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/blackocean-pool.jpg","Yes","No","0","","1","No","Convert page format"
"RE-011998","Grin Baby, Richmond, 2014","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/grin-baby.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/grin-baby.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/grin-baby-richmond-2014.html","grin-baby-richmond-2014.html","Yes","","2014","Richmond","Grin Baby, Richmond, 2014","../images/murals/grin-baby.jpg","../images/murals/Grin-Baby.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/Grin-Baby.jpg","Yes","Yes","5","../images/murals/baby-2.jpg | ../images/murals/baby-3.jpg | ../images/murals/baby-4.jpg | ../images/murals/baby-5.jpg | ../images/murals/baby-6.jpg","0","No","Convert page format; preserve gallery and sources"
"RE-011999","Miami Marine Stadium, 2014","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/marine-stadium.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/marine-stadium.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/miami-marine-stadium-2014.html","miami-marine-stadium-2014.html","Yes","","2014","Miami Marine Stadium, Miami, Florida, United States","Miami Marine Stadium, 2014","../images/murals/marine-stadium.jpg","../images/murals/marine-stadium.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/marine-stadium.jpg","Yes","No","0","","5","No","Convert page format"
"RE-012000","Zelephant, South Haven, 2014","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/zelephant-south-haven.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/zelephant-south-haven.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/zelephant-south-haven-2014.html","zelephant-south-haven-2014.html","Yes","","2014","South Haven, Michigan, United States","Zelephant, South Haven, 2014","../images/murals/zelephant-south-haven.jpg","../images/murals/zelephant-1.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/zelephant-1.jpg","Yes","Yes","2","../images/murals/zelephant-2.jpg | ../images/murals/zelephant-3.jpg","5","No","Convert page format; preserve gallery and sources"
"RE-012001","Compound, Harlem, 2015","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/compound-harlem.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/compound-harlem.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/compound-harlem-2015.html","compound-harlem-2015.html","Yes","","2015","The Compound, Harlem, New York, United States","Compound, Harlem, 2015","../images/murals/compound-harlem.jpg","../images/murals/compound-harlem.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/compound-harlem.jpg","Yes","No","0","","1","No","Convert page format"
"RE-012002","Coney Island Mural, 2015","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/coney-island-mural.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/coney-island-mural.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/coney-island-2015.html","coney-island-2015.html","Yes","","2015","Coney Art Walls, Coney Island, Brooklyn, New York, United States","Coney Island, 2015","../images/murals/coney-island-mural.jpg","../images/murals/coney-1.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/coney-1.jpg","Yes","Yes","5","../images/murals/coney-2.jpg | ../images/murals/coney-3.jpg | ../images/murals/coney-4.jpg | ../images/murals/coney-5.jpg | ../images/murals/coney-6.jpg","5","No","Convert page format; preserve gallery and sources"
"RE-012003","Corey Helford, 2015","=IFERROR(IMAGE(""https://ronenglish-archive.github.io/ron-english-murals/images/murals/corey-helford-2015.jpg"",1),"""")","https://ronenglish-archive.github.io/ron-english-murals/images/murals/corey-helford-2015.jpg","https://ronenglish-archive.github.io/ron-english-murals/murals/corey-helford-2015.html","corey-helford-2015.html","Yes","","2015 (December 8)","Corey Helford Gallery, 571 S. Anderson Street, Los Angeles, California, United States","Corey Helford, 2015","../images/murals/corey-helford-2015.jpg","../images/murals/corey-helford-2015.jpg","https://ronenglish-archive.github.io/ron-english-murals/images/murals/corey-helford-2015.jpg","Yes","Yes","2","../images/murals/monarch-2.jpg | ../images/murals/monarch-3.jpg","5","No","Convert page format; preserve gallery and sources"
